Time,Reading
2024-09-16 10:30:32.735,0.31032085
2024-09-16 10:30:32.735,0.30532026
2024-09-16 10:30:32.735,0.30319118
2024-09-16 10:30:32.735,0.29575014
2024-09-16 10:30:32.736,0.30161190
2024-09-16 10:30:32.736,0.29780769
2024-09-16 10:30:32.736,0.29874086
2024-09-16 10:30:32.736,0.30419588
2024-09-16 10:30:32.736,0.29579782
2024-09-16 10:30:32.736,0.30283212
2024-09-16 10:30:33.672,0.30063
2024-09-16 10:30:33.693,0.31032085
2024-09-16 10:30:33.705,0.30532026
2024-09-16 10:30:33.717,0.30319118
2024-09-16 10:30:33.717,0.29575014
2024-09-16 10:30:33.717,0.30161190
2024-09-16 10:30:33.718,0.29780769
2024-09-16 10:30:33.718,0.29874086
2024-09-16 10:30:33.718,0.30419588
2024-09-16 10:30:33.718,0.29579782
2024-09-16 10:30:33.719,0.30283212
2024-09-16 10:30:33.720,-4.00000000
2024-09-16 10:30:33.720,-4.00000000
2024-09-16 10:30:33.731,-4.00000000
2024-09-16 10:30:33.743,0.29795122
2024-09-16 10:30:33.755,0.29682683
2024-09-16 10:30:33.767,0.30213832
2024-09-16 10:30:33.783,0.29591751
2024-09-16 10:30:33.795,0.30343008
2024-09-16 10:30:33.807,0.29830980
2024-09-16 10:30:33.820,0.29759216
2024-09-16 10:30:33.833,0.30194664
2024-09-16 10:30:33.845,0.29548692
2024-09-16 10:30:33.857,0.29548692
2024-09-16 10:30:33.869,0.30206632
2024-09-16 10:30:33.882,0.29701805
2024-09-16 10:30:33.894,0.29871654
2024-09-16 10:30:33.906,0.30364561
2024-09-16 10:30:33.919,0.29663515
2024-09-16 10:30:33.931,0.30242538
2024-09-16 10:30:33.943,0.30036783
2024-09-16 10:30:33.956,0.29756832
2024-09-16 10:30:33.968,0.29969787
2024-09-16 10:30:33.980,0.30754566
2024-09-16 10:30:33.992,0.31340742
2024-09-16 10:30:34.005,0.29886007
2024-09-16 10:30:34.017,0.29811859
2024-09-16 10:30:34.029,0.29960203
2024-09-16 10:30:34.041,0.30199480
2024-09-16 10:30:34.057,0.29555845
2024-09-16 10:30:34.069,0.30754566
2024-09-16 10:30:34.081,0.30965089
2024-09-16 10:30:34.093,0.29953002
2024-09-16 10:30:34.107,0.30225753
2024-09-16 10:30:34.119,0.29579782
2024-09-16 10:30:34.132,0.29575014
2024-09-16 10:30:34.144,0.30192279
2024-09-16 10:30:34.156,0.29682683
2024-09-16 10:30:34.168,0.29912328
2024-09-16 10:30:34.181,0.29790306
2024-09-16 10:30:34.193,0.29730510
2024-09-16 10:30:34.205,0.30209016
2024-09-16 10:30:34.217,0.30060672
2024-09-16 10:30:34.229,0.29708957
2024-09-16 10:30:34.242,0.30098962
2024-09-16 10:30:34.254,0.29701805
2024-09-16 10:30:34.266,0.30802392
2024-09-16 10:30:34.279,0.30692338
2024-09-16 10:30:34.292,0.29723358
2024-09-16 10:30:34.304,0.30072641
2024-09-16 10:30:34.316,0.30235338
2024-09-16 10:30:34.331,0.29582166
